,song_id,song_name,artist,artist_uri,album,realese_date,popularity
159,7bNrnbvRytCjxAhqhqzo0h,A Orillas del Río Dulce,Leandro Lovato,spotify:artist:6ZyOle5O4r39i22AnY19Mk,Musiquero,2016-11-23,12
160,00NHHAISgHT0YF4t9uj286,La Pulpera de Santa Lucia,Ginamaría Hidalgo,spotify:artist:7vnVFdROvKw2FdpXRxTtlV,Ginamaría Hidalgo Cronología - Amar Amando (1974),1974-01-28,22
161,5tjqwBcn9WsaoaqS2oGJq2,Duraznito,Pibes Chorros,spotify:artist:3TINnlLcMBQA88OoalsvYR,Pibes Chorros:Discografía Completa Vol.1,2004-01-01,53
162,7sp3ANvVq6FH67nXb6q1yA,Llegamos Los Pibes Chorros,Pibes Chorros,spotify:artist:3TINnlLcMBQA88OoalsvYR,Pibes Chorros:Discografía Completa Vol.1,2004-01-01,47
163,76resiPGue5Cum9rLUKCj0,Ain't No Mountain High Enough - Mono,Marvin Gaye,spotify:artist:3koiLjNrgRTNbOwViDipeA,Anthology: The Best Of Marvin Gaye,1995-01-01,51
164,0QQHPRbgLJJ5XNzJV1l9BW,María,Ricky Martin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,A Medio Vivir,1995-09-12,56
165,734dz1YaFITwawPpM25fSt,Je veux,Zaz,spotify:artist:1mbgj8ERPs8lWi7t5cYrdy,Zaz,2010-05-10,68
166,3P6dtHhJmdg1vfyc8KRLLr,Sweet Thing - 2008 Remaster,Yazoo,spotify:artist:1G1mX30GpUJqOr1QU2eBSs,You and Me Both (Remastered),1983-07-04,38
167,2ZbmiBfA3nbpJoSlzBKbHk,Around My Dream,Silver Pozzoli,spotify:artist:6CY5pbdf5XDjkJf8lAaljU,Disco and Dance Hits Made in Italy,2012-11-27,22
168,7rb5qQHrnnwUwS4udW6J8H,Se Dice De Mi,Tita Merello,spotify:artist:7r4Bb7uhP2AhJ4qlRp2vgP,Serie De Oro,1979-01-01,41
169,2VN7uPrbryJ7nE2MXX3f9a,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,spotify:artist:26bcq2nyj5GB7uRr558iQg,Survivor Greatest Hits,1993-01-01,67
170,4Qa5B6UkVBcMua4zWT5j3g,It`s Raining Men (live),The Weather Girls,spotify:artist:19xz1vcuKNjniGEftTOSSH,"Muscles, Men & More",2007-09-19,39
171,3gqvoaaF2xQmQ6uCD48PWY,Ni Más Ni Menos - Remastered 2014,Los Chichos,spotify:artist:1xivtET7hPQUzwgnLRQfEP,40 + 1 Aniversario 1973-2014,2014-01-01,44
172,4BNgHaHriMcnpeR7qdkojU,When the Rain Begins to Fall,Jermaine Jackson,spotify:artist:1VDurPMbOKrNU8mcMP4X1P,Jermaine Jackson (Expanded Edition),1984-04-14,59
173,4LM0QzTZldkZ4TmLtbUIYb,All Shook Up,Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,Collected Additional Masters,2011-11-08,38
174,4ynh6SYokrNc1E6fHKSTht,Ameno - Remix,ERA,spotify:artist:4D0CepDROoLM09ht1sM5cu,Era I 2002,2002-01-01,52
175,40hIuxoe1aHcfnjOjl6Tkj,The Best - Edit,Tina Turner,spotify:artist:1zuJe6b1roixEKMOtyrEak,Open Arms,2004-10-22,61
176,3ErsOxqe2RmXkR65wkygDz,What's Love Got to Do with It - 2015 Remaster,Tina Turner,spotify:artist:1zuJe6b1roixEKMOtyrEak,Private Dancer (30th Anniversary Issue),1984-05-29,65
177,5JjdJK0uGRUk4skRTuQdUZ,Private Dancer - 2015 Remaster,Tina Turner,spotify:artist:1zuJe6b1roixEKMOtyrEak,Private Dancer (30th Anniversary Issue),1984-05-29,58
178,6gJdDnF2TzfA1WPMXuCa3x,Proud Mary,Tina Turner,spotify:artist:1zuJe6b1roixEKMOtyrEak,What's Love Got to Do with It?,1993,66
179,0r8H7m8knNVn3iUXwQCnVo,Shot Through The Heart,Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp,Bon Jovi,1984-01-01,54
180,71awpJoi5bqGMBrTkHDDoL,Persiana Americana - Remasterizado 2007,Soda Stereo,spotify:artist:7An4yvF7hDYDolN4m5zKBp,Signos (Remastered),1986-10-09,70
181,4xgC8lw1vVS0gJatMDlKAe,She Works Hard for the Money - Live,Donna Summer,spotify:artist:2eogQKWWoohI3BSnoG7E2U,VH1 Presents Live & More Encore!,1999-06-21,28
182,497lQdlYvqdGxkbs0O5fPW,Sobreviviendo (with Victor Heredia),La Beriso,spotify:artist:0Dy32zfSrQ332Bz8wsthKJ,Sobreviviendo (with Victor Heredia),2015-10-30,52
183,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,spotify:artist:2hl0xAkS2AIRAu23TVMBG1,Point Of Know Return (Expanded Edition),1977,77
184,7yW7zbnGD9C3ObVPTBW9yQ,Deja la Vida Volar,Rodrigo Montero,spotify:artist:6ABhpEk6lSChZFd268br7Q,Deja la Vida Volar,2020-04-25,24
185,0XHGKdViVybbZKqEZ2tXqV,Beds Are Burning,Midnight Oil,spotify:artist:72KyoXzp0NOQij6OcmZUxk,Diesel And Dust,1986,48
186,7AtoMmLJREWLdN30gOBRn6,Pop Corn,Marsheaux,spotify:artist:71kSWeYFioviuty6e3aj5k,Ebay Queen,2004-06-01,35
187,3KOTtBsb5zxkeMVAzxMgmu,Palomitas de maíz,Los Pekenikes,spotify:artist:1cf0sI5xmIozfrJXUWcRYo,Pop Corn,1972,33
188,0u5w3ehyNtTgSPvKVMU2xv,La Calle Es Su Lugar,GIT,spotify:artist:21o0KNjooi1XjygW6V70NM,Vol I,1986-01-01,60
189,5MK642wCaNr9hRDZ3kWyDX,Amor Clasificado,Rodrigo,spotify:artist:235Vf4hkmwvxjVEMuCbRxm,Soy Cordobes,2011-08-12,60
190,4nuPKo22z8NqAK2oiLtAZS,Oro y plata - En vivo,Noelia Moncada,spotify:artist:3HkXD1NjyvV3kBrrREjGrC,Encanto Negra (En vivo),2019-06-21,1
191,4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,1983-10-14,79
192,6itU43RZ2hOye1ocIP7xbI,Midnight Radio,Hedwig And The Angry Inch - Original Broadway Cast,spotify:artist:5IQFLz9g7xdgHtw8BKa96y,Hedwig And The Angry Inch Original Broadway Cast Recording,2010-06-29,21
193,2Rqd2WmHTAxmqkOWW13yCb,Medley Gilda - En Vivo en el Gran Rex,Los Totora,spotify:artist:6Cv7YpJ01y71mdgm4szmU2,Juntos (En Vivo en el Gran Rex),2019-12-20,45
194,6xepovPqjvrkEw9Y5AMmTm,Lambada - Original Version 1989,Kaoma,spotify:artist:1LsXqDdYVyONhrjAORENbu,Lambada - Les originaux No. 1 de l'été (Original 1989),1989,70
195,4Fqm5rqB0WMx0hPOwgRjFr,Dreams (Will Come Alive),2 Brothers On The 4th Floor,spotify:artist:5wsBGjgRsASMggXLPF7pYm,Dreams,1994-01-01,65
196,3x9gN89nlVEX4ApABJIzWn,Bella Señora,Emmanuel,spotify:artist:2DmYtFBKcxb3ajwWWgA576,Lo Esencial,2005-02-01,45
197,4u4VElxO7JM4IR4jR4TL1s,Arrival to Earth,Steve Jablonsky,spotify:artist:5Il8YjuVAWkWNH2xgjFMpF,Transformers: The Score,2007-10-01,60
198,08QaHlMPWuO5PUxjl61bXn,He's a Pirate,Klaus Badelt,spotify:artist:03GruNQP8X25PCoWzdvIGZ,Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack),2003-07-22,65
199,5K2OuUEVN3eh581IpggOH1,"Por Una Cabeza (From ""Scent Of A Woman"")",Cristina Kiseleff,spotify:artist:4fvx4LuypijTSOQOBNJzqQ,Epic Movie Music,2016-06-13,0
200,5eWsaeXB1uInflcLm9XvL0,Marcha Turca,Orquesta de Pulso y Pua de la Universidad Complutense de Madrid,spotify:artist:6jtBO3EoN7DkREJimtepzS,Homenaje a Santiago Lopez Hernandez,2015-09-22,6
201,2RChe0r2cMoyOvuKobZy44,Always,Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp,Cross Road,1994-10-18,76
202,5sgVguJJlA7thC8ybAFOo5,Tonight I'm Yours (Don't Hurt Me),Rod Stewart,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,Tonight I'm Yours (Expanded Edition),1981,48
203,3tBCmnyX73X9u6fXHmZCC9,Ramón,Kapanga,spotify:artist:2MLiASzGQHVMyORIApRGsp,A 15 Cm De La Realidad,1998-01-01,46
204,6AWlEpAntLxYD3sOQJm3EC,Walk Of Life - Live Version,Dire Straits,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,On The Night,1993-05-10,50
205,627NtjklwCyGQrTLvTfjeQ,Everlasting,Survivor,spotify:artist:26bcq2nyj5GB7uRr558iQg,Vital Signs,1984-01-01,25
206,5K3fjo3ZqtEYXAonWnGyGS,Chacarera del 55,Rodrigo Montero,spotify:artist:6ABhpEk6lSChZFd268br7Q,Chacarera del 55,2020-05-28,3
207,7mKTEflqf7xb9QZTQDJHou,No One Like You,Scorpions,spotify:artist:27T030eWyCQRmDyuvr1kxY,Deadly Sting: The Mercury Years,1997-07-15,36
208,1bKQ48M9onID2kbSpRy8kK,Send Me An Angel,Scorpions,spotify:artist:27T030eWyCQRmDyuvr1kxY,Crazy World,1990-01-01,69
209,1INWPr855fwWdAOeecbu0W,Let's Twist Again,Chubby Checker,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,It's Pony Time/Let's Twist Again,1961-01-01,68
210,6zJmq67h7hlhueQhl8Va0V,Gajito de Cedrón,Rodrigo Montero,spotify:artist:6ABhpEk6lSChZFd268br7Q,Gajito de Cedrón,2020-06-24,4
