,artist_uri,genres,popularity,followers
218,spotify:artist:43PjjBbR7LawCx75hCbLmn,['cumbia pop'],45,132774
219,spotify:artist:43PjjBbR7LawCx75hCbLmn,['cumbia pop'],45,132774
220,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,"['latin pop', 'puerto rican pop']",75,10649759
221,spotify:artist:5aIqB5nVVvmFsvSdExz408,"['baroque', 'classical', 'early music', 'german baroque']",77,3735569
222,spotify:artist:1nIUhcKHnK6iyumRyoV68C,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'vintage italian soundtrack']",65,947669
223,spotify:artist:6wBOZ9D65AcqUlfKUqsQ7R,['classify'],53,154853
224,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,[],0,1612941
225,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",68,2447780
226,spotify:artist:0rEPA60vS71xXQhNZ8J1N7,[],15,159
227,spotify:artist:1hrrhEyMSe7otCwuVTm5Ej,[],0,51
228,spotify:artist:42TFhl7WlMRXiNqzSrnzPL,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'psychedelic rock', 'rock', 'singer-songwriter']",62,1573474
229,spotify:artist:5nkYRuiIHg2xXHFC8bfosJ,"['dance pop', 'eurodance', 'hands up', 'italo dance', 'pop dance']",62,396040
230,spotify:artist:4NGiEU3Pkd8ASRyQR30jcA,"['acoustic pop', 'neo mellow', 'pop rock']",57,358787
231,spotify:artist:70cRZdQywnSFp9pnc2WTCE,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",71,4294750
232,spotify:artist:70cRZdQywnSFp9pnc2WTCE,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",71,4294750
233,spotify:artist:31GFatrHl2ijnS4ZAWA9s0,['chanson'],47,182892
234,spotify:artist:0VtUo7KpkeFx3zwTmSwNQl,['french pop'],37,17797
235,spotify:artist:1TiGxAkU8w0xBCVFOP6Ttl,"['cancion melodica', 'cantautor', 'pop romantico', 'spanish pop']",47,191494
236,spotify:artist:4ZP3CHz28XWVLGiaVVWuLj,"['chanson', 'chanson virale', 'french pop', 'french reggae', 'french rock']",53,474711
237,spotify:artist:4zZpzWYJaB1flhTV6UueQq,"['celtic', 'gaita', 'musica folk asturiana']",34,32680
238,spotify:artist:2eEmsgWmUFMbtU7agJpnjY,"['electronica argentina', 'latin alternative', 'latin pop', 'pop electronico', 'rock en espanol']",68,890256
239,spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz,"['canadian hip hop', 'dark trap', 'vapor trap']",75,1123882
240,spotify:artist:6jBoGQrIq53YHEI7nnaqr5,[],6,129
241,spotify:artist:329e4yvIujISKGKz1BZZbO,"['latin hip hop', 'reggaeton', 'trap latino']",85,14165635
242,spotify:artist:0OWtaM1z81DliQXntU4KaN,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",48,1603744
243,spotify:artist:4wngxtsP87ozrQh05D90dO,"['francoton', 'french pop']",54,368811
244,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85,39579574
245,spotify:artist:7HL4id2U7FSDJtfKQHMgQx,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",59,1451386
246,spotify:artist:4FmJD0mpgQ70SNt2EKK8tq,['irish metal'],61,210118
247,spotify:artist:6v8wyMs1hKeRXrwJF6DVtu,[],49,1659
248,spotify:artist:6v8wyMs1hKeRXrwJF6DVtu,[],49,1659
249,spotify:artist:04sHHRws8Q7apGxRnUnjQs,['slap house'],55,4556
250,spotify:artist:26BL0aeVS96sje8JfCNfUk,"['chicha', 'cumbia', 'folclor afrocolombiano', 'latin alternative', 'porro']",53,109415
251,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",83,18540718
252,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",83,18540718
253,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",83,18540718
254,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",83,18540718
255,spotify:artist:2MSlGNpwXDScUdspOK6TS7,['a cappella'],58,318948
256,spotify:artist:2ycnb8Er79LoH2AsR5ldjh,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",67,1457542
257,spotify:artist:30fEdZPXgWfC4sNttcyB3C,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",62,1334832
258,spotify:artist:2ydE5oBt6cwsDxH1TpIFmO,"['argentine rock', 'folclore salteno', 'folklore argentino']",56,514292
259,spotify:artist:7etM46AS8HLTharyt6Xrvc,['variete francaise'],18,322
